"n","n_acum","Sem_x","Registros","Estadistica"
43080,300771,27,"Registros estables","Casos"
2902,79604,37,"Registros estables","Defunciones"
672,1254,16,"Registros estables","Defunciones"
49970,395105,29,"Registros estables","Casos"
1896,4444,18,"Registros estables","Defunciones"
54990,1414212,52,"Registros preliminares","Casos"
2612,82216,38,"Registros estables","Defunciones"
57058,1471270,53,"Registros preliminares","Casos"
8990,22426,17,"Registros estables","Casos"
185,212,11,"Registros estables","Casos"
3286,7480,15,"Registros estables","Casos"
71105,1359222,51,"Registros estables","Casos"
36661,1507931,54,"Registros en construcción","Casos"
38734,570514,33,"Registros estables","Casos"
4026,66462,33,"Registros estables","Defunciones"
37530,608044,34,"Registros estables","Casos"
37504,218901,25,"Registros estables","Casos"
4,6,12,"Registros estables","Defunciones"
4410,24876,24,"Registros estables","Defunciones"
43773,1100926,47,"Registros estables","Casos"
55512,1156438,48,"Registros estables","Casos"
38,44,13,"Registros estables","Defunciones"
44364,345135,28,"Registros estables","Casos"
4545,38142,27,"Registros estables","Defunciones"
4519,62436,32,"Registros estables","Defunciones"
2918,97389,44,"Registros estables","Defunciones"
29258,749310,38,"Registros estables","Casos"
3785,117153,50,"Registros estables","Defunciones"
4267,33597,26,"Registros estables","Defunciones"
4033,121186,51,"Registros estables","Defunciones"
1,1,10,"Registros estables","Defunciones"
30054,147289,23,"Registros estables","Casos"
2414,91697,42,"Registros estables","Defunciones"
23436,90601,21,"Registros estables","Casos"
2774,94471,43,"Registros estables","Defunciones"
2330,132069,54,"Registros en construcción","Defunciones"
1294,2548,17,"Registros estables","Defunciones"
2818,9545,20,"Registros estables","Defunciones"
2,3,5,"Registros estables","Casos"
11040,33466,18,"Registros estables","Casos"
4454,29330,25,"Registros estables","Defunciones"
49749,444854,30,"Registros estables","Casos"
38814,646858,35,"Registros estables","Casos"
33147,847493,41,"Registros estables","Casos"
3362,73498,35,"Registros estables","Defunciones"
4953,43095,28,"Registros estables","Defunciones"
11,16,9,"Registros estables","Casos"
3995,20466,23,"Registros estables","Defunciones"
3572,16471,22,"Registros estables","Defunciones"
34108,181397,24,"Registros estables","Casos"
19168,67165,20,"Registros estables","Casos"
1,4,7,"Registros estables","Casos"
3046,106341,47,"Registros estables","Defunciones"
41523,531780,32,"Registros estables","Casos"
5049,48144,29,"Registros estables","Defunciones"
1253,2131,13,"Registros estables","Casos"
43582,929473,43,"Registros estables","Casos"
38265,685123,36,"Registros estables","Casos"
4164,125350,52,"Registros preliminares","Defunciones"
1,1,3,"Registros estables","Casos"
2283,6727,19,"Registros estables","Defunciones"
382,582,15,"Registros estables","Defunciones"
3204,76702,36,"Registros estables","Defunciones"
3416,109757,48,"Registros estables","Defunciones"
5006,53150,30,"Registros estables","Defunciones"
38398,885891,42,"Registros estables","Casos"
156,200,14,"Registros estables","Defunciones"
46380,1057153,46,"Registros estables","Casos"
38790,257691,26,"Registros estables","Casos"
5956,13436,16,"Registros estables","Casos"
11,27,10,"Registros estables","Casos"
4389,129739,53,"Registros preliminares","Defunciones"
39951,1010773,45,"Registros estables","Casos"
2562,84778,39,"Registros estables","Defunciones"
666,878,12,"Registros estables","Casos"
34929,720052,37,"Registros estables","Casos"
0,1,4,"Registros estables","Casos"
33028,782338,39,"Registros estables","Casos"
2967,100356,45,"Registros estables","Defunciones"
62472,1218910,49,"Registros estables","Casos"
32008,814346,40,"Registros estables","Casos"
3674,70136,34,"Registros estables","Defunciones"
14531,47997,19,"Registros estables","Casos"
3611,113368,49,"Registros estables","Defunciones"
41349,970822,44,"Registros estables","Casos"
3354,12899,21,"Registros estables","Defunciones"
69207,1288117,50,"Registros estables","Casos"
2292,87070,40,"Registros estables","Defunciones"
4767,57917,31,"Registros estables","Defunciones"
45403,490257,31,"Registros estables","Casos"
2939,103295,46,"Registros estables","Defunciones"
26634,117235,22,"Registros estables","Casos"
1,2,11,"Registros estables","Defunciones"
2213,89283,41,"Registros estables","Defunciones"
1,5,8,"Registros estables","Casos"
2063,4194,14,"Registros estables","Casos"
0,3,6,"Registros estables","Casos"
